Here log for real horse accelerometer data. Accelerometer located on halter on the horse head,
between ears. Here free walk.
z - vertical axis, x - from left to right side of the horse, y - from head to tale. 
ax,ay,az - accelerometer data, gx,gy,gz - gyroscope data. ts - timestamp in milliseconds real gyroscope data multiplyed by 10 000
frequency - 10 Hz

Here link on youtube video  of this set 
https://www.youtube.com/watch?v=d2IUOKfblZQ
https://www.youtube.com/watch?v=eULXeQzOwss
https://www.youtube.com/watch?v=iKY964PpItg
https://www.youtube.com/watch?v=N-dKfCw98-U


----------------------------------------------------------------------------

Enter command>

Starting measure, name: alastemp


ax;ay;az;gx;gy;gz;ts

76,236,760,-28350,10672,-4987,7105
232,304,868,1311,-13739,-12074,7199
280,-68,1192,-18810,12249,-25285,7293
280,-60,1236,3678,-2625,17590,7387
272,-16,1036,-21610,-1136,2191,7481
236,148,804,30537,29314,28179,7575
48,632,872,-29487,12510,13044,7668
396,192,1004,2975,16014,18904,7762
224,140,944,-26249,-18372,-27474,7856
140,8,952,26600,7439,32635,7950
120,64,1100,14612,-1662,22222,8044
252,52,1152,13124,-4985,27210,8138
100,-56,1172,-27736,-15747,18111,8232
-28,60,1060,25639,-5949,-3328,8326
-120,440,1092,-26160,17410,-18369,8420
144,328,1028,18206,-14344,-8049,8514
-152,452,796,-3672,6650,-29662,8607
-120,316,816,28085,-31412,28968,8701
184,80,948,30533,-21349,25904,8795
-104,12,1128,25896,22924,26606,8889
80,48,1100,-7787,-5162,17159,8982
152,-60,1032,-10324,22051,-25890,9076
144,740,1016,15750,-11633,-22473,9170
96,116,1040,-4639,11907,-22040,9263
-192,200,844,20733,-19426,-8746,9357
100,8,1112,6043,9883,11289,9545
312,136,1072,-3146,-26600,5340,9638
40,412,660,-2883,-3669,30100,9732
-396,244,684,18900,27650,14958,9826
304,-204,1312,-31414,-5435,21443,9919
232,140,1416,13560,-31500,-26507,10013
272,12,912,-15050,14265,30450,10107
148,200,700,28261,-18105,-17675,10200
-192,88,816,31846,30979,32637,10293
200,-20,1040,32461,-4551,-17757,10387
-140,-68,916,19860,2710,28614,10481
84,-152,1332,7699,21691,-5421,10574
300,-364,1576,-22919,-17412,25989,10668
8,-124,1260,-2701,30800,443,10762
56,416,952,-13905,-11108,30456,10855
48,248,476,19340,3587,17507,10948
248,476,588,3,23364,-10493,11042
40,-160,1312,25465,21605,-15655,11229
196,136,776,9889,25633,13481,11322
312,552,444,-7178,-9100,26167,11416
296,420,508,25713,-5332,6306,11510
96,-44,1332,1304,15493,-26941,11603
-140,-64,1044,-16101,18636,-19504,11697
-52,-76,1004,1922,2274,29490,11791
68,-332,1268,11986,-14967,21532,11884
220,-416,1348,25465,6125,-26069,11977
0,-124,1268,2456,-21699,-16974,12071
40,248,984,-958,-29399,25462,12165
28,328,600,-24758,20121,-14614,12258
12,340,612,-351,9096,5597,12352
264,44,976,-16628,-18293,23195,12446
312,-332,1368,10149,-17851,14179,12539
328,-124,1176,24415,-8051,-13380,12632
324,228,848,21615,25289,2632,12726
224,392,596,20299,29753,-29738,12820
272,240,700,-16017,-26243,31074,12913
-272,-324,1200,10412,32199,6743,13006
272,-148,1208,14261,7436,-31585,13100
276,-336,1464,21089,-3587,-8483,13194
80,-152,1332,-25371,23361,16631,13287
176,104,1148,-14785,25901,30800,13380
-12,80,852,-22746,-9801,-30971,13474
144,224,540,29054,-11194,19689,13568
-96,392,764,30274,-15839,3507,13661
4,-308,1280,878,-22581,13739,13754
112,-260,1176,32727,7074,-26849,13848
528,112,992,-786,-17940,353,13941
412,208,764,-2453,20564,-32630,14034
440,164,608,81,-20994,8581,14128
208,0,816,12335,13393,22311,14222
-56,-240,1156,-22047,-14440,-4117,14315
272,-424,1368,7531,-6566,-436,14408
572,-56,1048,-4986,24418,22926,14502
80,-8,976,-17322,13131,-1839,14596
-224,292,960,-14083,-22050,-30281,14689
92,292,1092,-30186,-24412,-5340,14782
44,180,768,8137,-9276,31675,14876
164,172,828,-22750,-28700,-11375,14970
212,-36,912,18637,-24150,13387,15063
64,52,1064,26161,27822,-9008,15156
284,20,1112,-5775,-6211,24064,15250
296,-72,1048,-20999,-17408,-3146,15344
84,388,1008,15487,1576,-20640,15437
148,124,1140,-23624,-5508,-11280,15530
-48,136,1104,-19511,-25637,6040,15624
28,80,904,-8575,-16976,-18724,15718
24,200,828,-4729,12860,-29922,15811
104,140,888,-22315,10322,8665,15904
268,-96,1016,6560,-23011,95,15997
236,32,1044,14961,-9358,-17583,16091
76,-288,1164,-5772,18726,-2450,16184
-52,-44,1164,12076,9974,-10065,16277
272,56,1000,8664,-786,21875,16464
204,176,840,-12689,1837,-25289,16557
172,8,1120,29574,15832,-26690,16650
484,-144,1180,12426,-7092,-25725,16743
280,20,1060,-29485,23535,14346,16837
292,56,924,-8399,-27212,-17242,16930
328,264,628,6037,13211,-19337,17023
168,400,884,-1579,-8046,-18285,17116
384,-260,1320,20736,-24408,-23976,17210
4,-104,1152,-2972,19511,-89,17303
96,84,956,26687,-6739,-5951,17396
160,240,900,11196,19424,-30625,17489
248,-112,1016,23533,-12949,1,17583
48,-36,1044,-3585,14615,-24059,17676
168,-96,992,-12421,1136,-18983,17769
200,-20,1076,-21255,-24147,15403,17862
32,264,1044,15225,-32550,-9186,17955
136,372,996,-13653,-23278,10497,18049
128,152,956,1572,-7440,10232,18142
